"","weights"
"1",29.4056859126145
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",19.356285551976
"9",1.82485552260861
"10",0
"11",0
"12",0
"13",0
"14",0
"15",48.2338866177536
"16",7.9313756216826
"17",19.9114284470948
"18",19.9114284470948
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",3.10047162140129
"32",0.308811580511644
"33",0
"34",0
"35",0
"36",0
"37",124.308145818203
"38",124.308145818203
"39",0.224541221016806
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.465961284387332
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",1.14492324860754
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",10.5081070521453
"73",2.88244086739043
"74",28.8496978821487
"75",28.8496978821487
"76",0
"77",0
"78",1.82485552260861
"79",0
"80",0
"81",0
"82",0
"83",64.5725868868192
"84",64.5725868868192
"85",40.5074154972105
"86",40.5074154972105
"87",0.0239245537731428
"88",5.02960695074499
"89",0
"90",0
"91",0
"92",2.53468528427946
"93",0
"94",0
"95",0
"96",0
"97",0.0460854918075825
"98",0.506641030466779
"99",0.477650506662729
"100",0.0238930939393494
"101",0
"102",0
"103",16.8439238077561
"104",3.39044535059962
"105",42.0331927740159
"106",3.55891248443556
"107",3.55891248443556
"108",0.0289596515646316
"109",24.3560094914622
"110",24.3560094914622
"111",0
"112",0
"113",0
"114",14.3117231928091
"115",14.3117231928091
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",7.23201482042313
"123",504.505635907797
"124",30.5711124696567
"125",10.6066673621294
"126",10.6066673621294
"127",697.271894111065
"128",697.271894111065
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",7.71170437316669
"142",0
"143",0
"144",0
"145",0.825962298485273
"146",100.033102806831
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",64.5725868868192
"158",64.5725868868192
"159",0
"160",0
"161",0
"162",0
"163",0.0230192659004285
"164",0
"165",0
"166",0
"167",0
"168",2.85903567423885
"169",88.5928934600586
"170",88.5928934600586
"171",0
"172",0
"173",0
"174",49.8660691242708
"175",0.0202431367775453
"176",0
"177",0
"178",0
"179",0
"180",0.0542394862024664
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",236.122490535081
"200",5.23777719469766
"201",9.33468911203089
"202",0.829066481779184
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0.371991416647095
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0.0249973728124556
"220",0
"221",0
"222",20.6944931538297
"223",20.6944931538297
"224",18.3447811233408
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0.0266510451531041
"235",0.0266510451531041
"236",0
"237",0
"238",0.140080376460593
"239",0.0201158447254815
"240",0
"241",0
"242",0.0775355727502896
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0.465961284387332
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",29.4056859126145
"268",9.42068828743121
"269",0.00630355696695811
"270",0.371991416647095
"271",29.4056859126145
"272",0
"273",0
"274",0
"275",0
"276",0
"277",7.9313756216826
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0.371991416647095
"288",0
"289",0
"290",0
"291",0
"292",0
"293",20.6944931538297
"294",20.6944931538297
"295",0.465961284387332
"296",0
"297",0
"298",0
"299",0
"300",0
"301",7.71170437316669
"302",7.63077755133978
"303",7.63077755133978
"304",0
"305",0
"306",0
"307",0
"308",0
"309",5.07622751542076
"310",5.40662940866322
"311",5.40662940866322
"312",0.0202431367775453
"313",13.1492481012925
"314",13.1492481012925
"315",0.00988247787519214
"316",3.57738955364672
"317",0
"318",0
"319",0
"320",0
"321",9.85608887106161
"322",0
"323",0
"324",0
"325",0.00630355696695811
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",9.65458211021197
"351",9.65458211021197
"352",0
"353",0
"354",1.11901567639696
"355",0.00725119076826684
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0.371991416647095
"363",2.48539789106083
"364",0
"365",0
"366",0
"367",0
"368",0
"369",19.356285551976
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",62.1292067355015
"386",62.1292067355015
"387",62.1292067355015
"388",62.1292067355015
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0.54840470751474
"399",20.2806329186696
"400",20.2806329186696
"401",0
"402",0
"403",121.242996820549
"404",121.242996820549
"405",0
"406",0
"407",0
"408",0
"409",0
"410",8.69356514228716
"411",28.8496978821487
"412",28.8496978821487
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0.746910583669973
"423",3.10047162140129
"424",0.316068764375597
"425",3.31073754382513
"426",56.8099299463292
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",1.40456549618396
"443",0.0986890806934058
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",1.22441629900267
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",11.1724798311314
"466",11.1724798311314
"467",0
"468",0
"469",4.38114784114817
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0.0861157060178523
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0.0127562729691934
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",7.06199348685562
"531",7.06199348685562
"532",21.3858152351856
"533",0
"534",0
"535",15.3439193271216
"536",0
"537",0
"538",0
"539",0
"540",30.527728228353
"541",30.527728228353
"542",7.63077755133978
"543",0.316068764375597
"544",4.94178036604564
"545",13.1492481012925
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0.634625141105298
"562",2.53468528427946
"563",0
"564",0
"565",4.61768376714645
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",14.3117231928091
"573",0.0903621849043992
"574",0.0903621849043992
"575",0
"576",0
"577",0
"578",16.4182835947357
"579",16.4182835947357
"580",0.0236749796876246
"581",0.0362979154225892
"582",18.9903065670557
"583",30.5711124696567
"584",0
"585",0
"586",7.78774118295917
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",5.40662940866322
"599",0.833869883005399
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",25.236444604439
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0.557233205162326
"628",5.02960695074499
"629",0
"630",0
"631",4.94178036604564
"632",0.0127562729691934
"633",0.506641030466779
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0.0150132647948355
"642",0
"643",0
"644",19.356285551976
"645",19.356285551976
"646",0.01955870647651
"647",0
"648",0
"649",5.64843200275768
"650",0
"651",0
"652",0
"653",0
"654",0.126472147004577
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",7.71170437316669
"667",0
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0.01955870647651
"683",0.01955870647651
"684",5.23777719469766
"685",0
"686",0
"687",0
"688",56.8099299463292
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",3.99032334474963
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0.825962298485273
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0.379574004617527
"725",0
"726",0
"727",23.636480529727
"728",23.636480529727
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",33.8248775775871
"741",33.8248775775871
"742",0
"743",0
"744",0
"745",0
"746",50.8270822230128
"747",0.164865065951634
"748",0.0731696581596572
"749",0.0731696581596572
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",6.16450715269687
"760",4.94178036604564
"761",0
"762",0
"763",0
"764",0
"765",0.0362979154225892
"766",0.0362979154225892
"767",17.5063515332119
"768",34.0998993632897
"769",14.3117231928091
"770",14.3117231928091
"771",14.3117231928091
"772",6.36323471250852
"773",16.4463936089102
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",1.20487678107032
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",9.84978490631745
"799",9.84978490631745
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0.477650506662729
"806",2.92514410354306
"807",2.92514410354306
"808",0
"809",0
"810",0
"811",1029.77395751651
"812",1029.77395751651
"813",0.0427201751684005
"814",124.308145818203
"815",124.308145818203
"816",18.9903065670557
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",5.02960695074499
"832",5.02960695074499
"833",0
"834",0
"835",0
"836",0
"837",16.4463936089102
"838",1.20487678107032
"839",0
"840",0
"841",9.84978490631745
"842",9.84978490631745
"843",0
"844",0
"845",9.7017981625642
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0.0427201751684005
"862",0
"863",0
"864",0
"865",11.599945565608
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",0
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",0.506641030466779
"888",41.2880697090351
"889",41.2880697090351
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0.54840470751474
"904",0
"905",0
"906",0
"907",0
"908",0
"909",0
"910",0
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",0
"920",0
"921",0
"922",0
"923",0
"924",0
"925",0
"926",0
"927",0
"928",0
"929",9.43309242766071
"930",0.0861157060178523
"931",19.3232019791167
"932",19.3232019791167
"933",28.3400923683986
"934",0
"935",0
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",75.9975384472069
"943",75.9975384472069
"944",0
"945",0
"946",0
"947",0
"948",0
"949",2.53468528427946
"950",1.82485552260861
"951",0
"952",0
"953",0
"954",0
"955",0
"956",0
"957",13.7092085545239
"958",2.98315200971014
"959",2.98315200971014
"960",0.0745797753226257
"961",7.63077755133978
"962",7.63077755133978
"963",0.0230192659004285
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0.465961284387332
"976",0
"977",0
"978",0.379574004617527
"979",0.117790507544819
"980",0
"981",0
"982",11.5925262282991
"983",11.5925262282991
"984",13.1492481012925
"985",3.89651268295123
"986",0.0627670425017166
"987",0
"988",0
"989",0
"990",0.0986890806934058
"991",0
"992",0
"993",0
"994",5.91950494849394
"995",5.91950494849394
"996",0
"997",0
"998",2.48539789106083
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",9.65458211021197
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0.0522560696558316
"1028",0
"1029",0
"1030",0.1144401875145
"1031",0.00936604768977234
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",16.2904325289334
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",1.92118825155022
"1053",6.36323471250852
"1054",6.36323471250852
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",236.122490535081
"1061",5.2208260609697
"1062",1.44105462155235
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",7.9313756216826
"1071",0.0128745137491999
"1072",33.9126172958142
"1073",176.055361099533
"1074",176.055361099533
"1075",176.055361099533
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",14.3117231928091
"1083",0.0731696581596572
"1084",40.8965351212645
"1085",40.8965351212645
"1086",0
"1087",0
"1088",3.49722272328234
"1089",30.2723144825909
"1090",0
"1091",0
"1092",0
"1093",6.85381565631459
"1094",0
"1095",0
"1096",0
"1097",1.44105462155235
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",7.9313756216826
"1107",48.2695125716704
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0.708511572517214
"1117",0
"1118",0
"1119",0
"1120",16.4200988496931
"1121",9.84978490631745
"1122",9.84978490631745
"1123",1.44105462155235
"1124",0
"1125",0
"1126",0
"1127",0
"1128",0
"1129",0
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",35.9290576945077
"1142",35.9290576945077
"1143",0
"1144",0
"1145",0
"1146",29.1268319193655
"1147",79.4670115895198
"1148",0.0704795138872001
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",108.41708799426
"1155",108.41708799426
"1156",6.36323471250852
"1157",6.36323471250852
"1158",65.190790876792
"1159",65.190790876792
"1160",0.430476073681912
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",28.8496978821487
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",75.9975384472069
"1176",75.9975384472069
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",0.0745797753226257
"1186",17.0251368663915
"1187",2.98315200971014
"1188",0.371991416647095
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0.465961284387332
"1197",0
"1198",0
"1199",0.01955870647651
"1200",0
"1201",0
"1202",0.0845945449025285
"1203",2.85903567423885
"1204",0
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0.0236749796876246
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",20.7054485877498
"1225",20.7054485877498
"1226",5.64843200275768
"1227",34.7484289813174
"1228",34.7484289813174
"1229",0
"1230",0
"1231",0
"1232",7.71170437316669
"1233",0.00626604099780713
"1234",0
"1235",0
"1236",1.92547538993367
"1237",1.92547538993367
"1238",3.44776555593634
"1239",0
"1240",0
"1241",4.61768376714645
"1242",0
"1243",0
"1244",52.7891255704844
"1245",52.7891255704844
"1246",0
"1247",0
"1248",0
"1249",0
"1250",0
"1251",7.9313756216826
"1252",0
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",0
"1259",0
"1260",0
"1261",0.655825544168009
"1262",0
"1263",0
"1264",0.0127562729691934
"1265",0
"1266",0
"1267",0.506641030466779
"1268",68.1690938481646
"1269",68.1690938481646
"1270",26.380218471965
"1271",26.380218471965
"1272",0
"1273",0
"1274",1.86104384160312
"1275",21.0469395232912
"1276",21.0469395232912
"1277",0
"1278",0
"1279",0
"1280",0
"1281",1.66845596775749
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",63.3551712803333
"1292",63.3551712803333
"1293",0
"1294",0
"1295",0
"1296",15.7987741429358
"1297",0
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",10.3432972898428
"1307",10.3432972898428
"1308",0.00462826527076583
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0.0102915034412616
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",0
"1339",11.087508722209
"1340",29.7015771175207
"1341",1.63601255323938
"1342",73.2572397010893
"1343",73.2572397010893
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0.0281575709270187
"1349",0
"1350",0
"1351",40.8965351212645
"1352",40.8965351212645
"1353",0
"1354",0
"1355",0
"1356",0
"1357",0
"1358",0
"1359",0
"1360",0
"1361",0
"1362",0
"1363",0
"1364",39.4218988869446
"1365",39.4218988869446
"1366",0
"1367",0
"1368",0
"1369",0
"1370",10.5081070521453
"1371",0
"1372",0
"1373",0
"1374",0
"1375",0
"1376",0
"1377",35.9290576945077
"1378",35.9290576945077
"1379",35.9290576945077
"1380",0
"1381",0
"1382",0
"1383",0
"1384",0
"1385",6.48361850285673
"1386",6.48361850285673
"1387",18.9903065670557
"1388",18.9903065670557
"1389",0
"1390",0
"1391",0
"1392",0.073872535633467
"1393",21.1823349070911
"1394",0.1144401875145
"1395",0
"1396",0
"1397",0
"1398",0
"1399",0.218684170215738
"1400",9.0533828366341
"1401",0
"1402",0
"1403",0
"1404",0
"1405",0
"1406",0
"1407",0
"1408",0
"1409",0
"1410",0
"1411",0
"1412",0
"1413",0
"1414",0
"1415",11.5925262282991
"1416",11.5925262282991
"1417",0
"1418",0
"1419",6.85381565631459
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",33.9541302229665
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0.164865065951634
"1433",0
"1434",0
"1435",21.1823349070911
"1436",21.1823349070911
"1437",21.1823349070911
"1438",0.127687055279807
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0
"1447",0.00414931483006988
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0.465961284387332
"1453",0
"1454",0
"1455",19.3253384106129
"1456",26.8105450534184
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",10.7284407348603
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",0
"1486",0
"1487",0
"1488",0.557233205162326
"1489",12.0484301417426
"1490",0
"1491",0
"1492",0
"1493",0
"1494",0
"1495",0
"1496",0
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",0
"1503",0
"1504",0
"1505",0
"1506",0
"1507",6.14455682238923
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",0
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",3.03958920908105
"1521",1.09770905737008
"1522",23.6502934301549
"1523",9.07615100848407
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0
"1533",0
"1534",0
"1535",0
"1536",0
"1537",0
"1538",0
"1539",1.22441629900267
"1540",0
"1541",0
"1542",0.477650506662729
"1543",75.9975384472069
"1544",0.0236749796876246
"1545",0
"1546",0
"1547",0
"1548",0
"1549",0
"1550",88.5928934600586
"1551",119.634019215572
"1552",0
"1553",0
"1554",0
"1555",0
"1556",0
"1557",0
"1558",3.49722272328234
"1559",0
"1560",0
"1561",0
"1562",0
"1563",30.5621350783129
"1564",7.3542821132528
"1565",7.3542821132528
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",15.7987741429358
"1579",0.00988247787519214
"1580",28.8496978821487
"1581",0
"1582",0
"1583",0
"1584",0
"1585",0
"1586",0
"1587",0
"1588",0
"1589",0
"1590",0
"1591",46.0539021398068
"1592",46.0539021398068
"1593",0
"1594",0
"1595",0
"1596",0
"1597",0
"1598",0
"1599",0.506641030466779
"1600",50.0137113377718
"1601",0.430476073681912
"1602",0
"1603",0
"1604",0.0117115383360937
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",6.85381565631459
"1614",0
"1615",0
"1616",18.0587483824625
"1617",18.0587483824625
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",0
"1626",0
"1627",0
"1628",0.379574004617527
"1629",0
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",0.634625141105298
"1637",0
"1638",0
"1639",0
"1640",0
"1641",0
"1642",0
"1643",0
"1644",0
"1645",0.01955870647651
"1646",0
"1647",0
"1648",0.746910583669973
"1649",0
