id,road_type,category,from_node,to_node,road_name,tags
1,1,1,110362638,110392929,Tabor Avenue,
2,1,1,110362638,110205309,Magee Avenue,
3,1,1,110362638,110362574,Magee Avenue,
4,1,1,110362644,109790532,Magee Avenue,
5,1,1,110362644,110392399,Oxford Avenue,
6,1,1,110362644,109873299,Oxford Avenue,
7,1,1,110362644,110205309,Magee Avenue,
8,1,1,112421315,111782457,Thomas Road,
9,1,1,112421315,111849462,Croyden Road,
10,1,1,112421315,112208207,Croyden Road,
11,1,1,110362671,110329561,Magee Avenue,
12,1,1,110362671,110392412,Algon Avenue,
13,1,1,110362671,109806925,Algon Avenue,
14,1,1,110362671,110322911,Magee Avenue,
15,1,1,110362678,109806667,Frontenac Street,
16,1,1,110362678,110301749,Magee Avenue,
17,1,1,110362678,109998712,Frontenac Street,
18,1,1,110362678,110322911,Magee Avenue,
19,1,1,103372128,103372130,Church Street,
20,1,1,103372128,103394619,Federal Street,
21,1,1,103372128,103409957,Federal Street,
22,1,1,110362702,109806721,Castor Avenue,
23,1,1,110362702,110052170,Magee Avenue,
24,1,1,110362702,110301749,Magee Avenue,
25,1,1,110362702,110392543,Castor Avenue,
26,1,1,109838423,110287100,Curtis Place,
27,1,1,111935577,111634801,Yew Road,
28,1,1,111935577,1941570419,West Laurel Avenue,
29,1,1,111935577,111935588,West Laurel Avenue,
30,1,1,109838426,109901645,North Jessup Street,
31,1,1,109838426,110441710,West Thompson Street,
32,1,1,110362718,110052170,Magee Avenue,
33,1,1,110362718,110441235,Rutland Street,
34,1,1,110362718,109834221,Magee Avenue,
35,1,1,111935588,111935577,West Laurel Avenue,
36,1,1,111935588,112317002,Jefferson Avenue,
37,1,1,111935588,111935595,West Laurel Avenue,
38,1,1,109838452,110121269,West Cumberland Street,
39,1,1,110144190,110144184,East Vernon Road,
40,1,1,110144190,110539491,Gorsten Street,
41,1,1,110144190,110144203,East Vernon Road,
42,1,1,110362742,110441252,Large Street,
43,1,1,110362742,110035654,Magee Avenue,
44,1,1,110362742,109873480,Large Street,
45,1,1,110362742,109834221,Magee Avenue,
46,1,1,103459522,103459524,Clinton Street,
47,1,1,103459522,103459940,South 27th Street,
48,1,1,103459522,103460437,South 27th Street,
49,1,1,109838529,109737003,West Huntingdon Street,
50,1,1,109838529,109838452,North Jessup Street,
51,1,1,103459531,103337118,Royden Street,
52,1,1,103459531,103432374,Royden Street,
53,1,1,103459531,103394629,Clinton Street,
54,1,1,111673544,111673561,Hewett Road,
55,1,1,111673544,112301380,Paxson Avenue,
56,1,1,111673544,111703733,"[u'Paxson Avenue', u'South Avenue']",
57,1,1,109750990,787090013,,
58,1,1,109750990,788901262,,
59,1,1,111673561,111673544,Hewett Road,
60,1,1,111673561,111703744,Glenside Avenue,
61,1,1,111673561,111703733,Glenside Avenue,
62,1,1,111673561,111673574,Hewett Road,
63,1,1,111673574,112330337,Park Lane,
64,1,1,111673574,111673586,Hewett Road,
65,1,1,111673574,111673561,Hewett Road,
66,1,1,109838575,109838529,North Jessup Street,
67,1,1,109838575,110159884,West Oakdale Street,
68,1,1,111673586,112330337,Glenview Avenue,
69,1,1,111673586,111673597,Hewett Road,
70,1,1,111673586,111673574,Hewett Road,
71,1,1,111673597,111673608,Hewett Road,
72,1,1,111673597,111673586,Hewett Road,
73,1,1,111673597,112204317,North Bent Road,
74,1,1,111673608,112289008,Waverly Road,
75,1,1,111673608,111673625,Hewett Road,
76,1,1,111673608,111673597,Hewett Road,
77,1,1,111673608,111651896,Waverly Road,
78,1,1,111673625,111792128,Rices Mill Road,
79,1,1,111673625,111673608,Hewett Road,
80,1,1,111673625,111651889,Hewett Road,
81,1,1,111673625,111651896,Rices Mill Road,
82,1,1,635437339,3157340998,Civic Center Boulevard,
83,1,1,109838622,109887456,Pine Rd,
84,1,1,109838622,109887476,Pine Rd,
85,1,1,109838622,109838669,Pheasant Hill Drive,
86,1,1,110144223,109924569,East Vernon Road,
87,1,1,110144223,110144226,East Vernon Road,
88,1,1,110144223,110361598,Mansfield Avenue,
89,1,1,110144223,110542413,Mansfield Avenue,
90,1,1,109838669,109838622,Pheasant Hill Drive,
91,1,1,109925780,109925770,Ford Road,
92,1,1,109925780,110126859,Monument Road,
93,1,1,109925780,1913159493,Ford Road,
94,1,1,109925780,110126798,Monument Road,
95,1,1,109924821,109727514,Washington Avenue,
96,1,1,109924821,110034271,Washington Avenue,
97,1,1,2022179216,4476162780,South 44th Street,
98,1,1,2022179216,110317791,Sansom Street,
99,1,1,109838748,110282338,Penn Street,
100,1,1,109838748,109780515,Gillingham Street,
101,1,1,109838755,109838748,Gillingham Street,
102,1,1,109838755,110296772,Griscom Street,
103,1,1,103377358,103348088,North Lenola Road,
104,1,1,103377358,103377388,North Lenola Road,
105,1,1,103377358,103648935,Pine Street,
106,1,1,109838773,110369892,Richmond Street,
107,1,1,109838773,110282230,Richmond Street,
108,1,1,109838784,109989109,Bath Street,
109,1,1,109838784,109989093,Bath Street,
110,1,1,109838784,109838773,Gillingham Street,
111,1,1,103459577,103440229,Clinton Street,
112,1,1,103459577,3416890856,Clinton Street,
113,1,1,103459577,103486922,South 3rd Street,
114,1,1,103459577,103459949,South 3rd Street,
115,1,1,109838814,109838755,Griscom Street,
116,1,1,109838844,109823432,Hedge Street,
117,1,1,109838844,110143406,Hedge Street,
118,1,1,109838844,109838854,Gillingham Street,
119,1,1,109838854,110282362,Worrell Court,
120,1,1,109838854,109838844,Gillingham Street,
121,1,1,109838854,109838861,Gillingham Street,
122,1,1,109838861,110265819,Mulberry Street,
123,1,1,109838861,109838854,Gillingham Street,
124,1,1,3864352174,110288266,Boone Street,
125,1,1,109838883,110113427,Worth Street,
126,1,1,109838883,109823508,Worth Street,
127,1,1,109838883,109794047,Gillingham Street,
128,1,1,635437614,635437850,Health Sciences Drive,
129,1,1,635437614,635436878,East Service Drive,
130,1,1,110275336,110276848,Fisk Avenue,
131,1,1,110275336,110275321,Dobson Street,
132,1,1,110275336,110276857,"[u'Merrick Road', u'Dobson Street']",
133,1,1,2487747126,110250784,Shawmont Avenue,
134,1,1,2487747126,110001842,"[u'Shawmont Avenue', u'Nixon Street']",
135,1,1,2487747126,110287350,,
136,1,1,605553240,111753682,Lori Lane,
137,1,1,605553240,109887683,Pine Rd,
138,1,1,605553240,109887636,Pine Rd,
139,1,1,109838944,109840180,Oakland Street,
140,1,1,109838944,109840174,Oakland Street,
141,1,1,109838953,109838944,Gillingham Street,
142,1,1,109838953,110369815,Elizabeth Street,
143,1,1,111935595,111935588,West Laurel Avenue,
144,1,1,111935595,111875267,West Laurel Avenue,
145,1,1,111935595,112115289,Beecher Avenue,
146,1,1,605553286,109887683,Pine Rd,
147,1,1,605553286,111897653,McFadden Drive,
148,1,1,605553286,605553319,Pine Rd,
149,1,1,4612686489,110218033,Ridge Avenue,
150,1,1,4612686489,109851996,Edwin Street,
151,1,1,4612686489,109907861,Ridge Avenue,
152,1,1,109839010,110022321,Belgrade Street,
153,1,1,109839010,110282212,Belgrade Street,
154,1,1,109839010,110282191,"[u'Gillingham Street', u'Miller Street']",
155,1,1,605553319,109887712,Pine Rd,
156,1,1,605553319,605553286,Pine Rd,
157,1,1,605553319,112200293,Chapel Hill Road,
158,1,1,109839029,109839035,Gillingham Street,
159,1,1,109839029,109838861,Mulberry Street,
160,1,1,109839035,109839029,Gillingham Street,
161,1,1,109839035,109823462,Tackawanna Street,
162,1,1,109839035,109839039,Gillingham Street,
163,1,1,109839039,109839035,Gillingham Street,
164,1,1,109839039,110013293,Ditman Street,
165,1,1,109839039,109832813,Gillingham Street,
166,1,1,110363330,110355109,South 20th Street,
167,1,1,110363330,110137510,Wilder Street,
168,1,1,109839053,110399865,Fairmount Avenue,
169,1,1,109839053,109839057,Corinthian Avenue,
170,1,1,109839053,110409831,Fairmount Avenue,
171,1,1,109839057,110274329,Brown Street,
172,1,1,109839057,109839075,Corinthian Avenue,
173,1,1,109839057,109839053,Corinthian Avenue,
174,1,1,109839075,109839081,Corinthian Avenue,
175,1,1,109839075,110257205,Parrish Street,
176,1,1,109839075,109839057,Corinthian Avenue,
177,1,1,109839081,109847936,Ogden Street,
178,1,1,109839081,109839088,Corinthian Avenue,
179,1,1,109839081,109839075,Corinthian Avenue,
180,1,1,635437805,635437614,Health Sciences Drive,
181,1,1,109839088,109839096,Corinthian Avenue,
182,1,1,109839088,109839081,Corinthian Avenue,
183,1,1,109839088,110054219,Poplar Street,
184,1,1,3294189011,112017477,North Keswick Avenue,
185,1,1,109839096,110022096,West George Street,
186,1,1,109839096,109839104,Corinthian Avenue,
187,1,1,109839096,109839088,Corinthian Avenue,
188,1,1,109839104,109839096,Corinthian Avenue,
189,1,1,109839104,109839114,Corinthian Avenue,
190,1,1,109839104,110054229,Cambridge Street,
191,1,1,109839114,109839104,Corinthian Avenue,
192,1,1,109839114,1479216666,"[u'South College Avenue', u'West Girard Avenue']",
193,1,1,109839114,634779924,Corinthian Avenue,
194,1,1,109839114,110054238,West Girard Avenue,
195,1,1,103285524,103676368,Maple Heights Road,
196,1,1,103285524,103572193,Maple Heights Road,
197,1,1,103285524,103282330,South Walnut Avenue,
198,1,1,103285524,103285540,South Walnut Avenue,
199,1,1,635437850,109906688,,
200,1,1,635437850,109906697,Health Sciences Drive,
201,1,1,103285540,103375888,South Fellowship Road,
202,1,1,103285540,103285524,South Walnut Avenue,
203,1,1,103285540,103375855,South Fellowship Road,
204,1,1,109839150,109839140,Neilson Street,
205,1,1,109839150,110425172,East Lycoming Street,
206,1,1,109839150,110425110,East Lycoming Street,
207,1,1,110363441,110355120,Dickinson Street,
208,1,1,110363441,110283794,Greenwich Street,
209,1,1,112198460,112143634,Bickley Road,
210,1,1,112198460,112023259,Bickley Road,
211,1,1,112198460,112198446,Forsythe Avenue,
212,1,1,109839165,109855225,East Hunting Park Avenue,
213,1,1,109839165,109855217,East Hunting Park Avenue,
214,1,1,109839167,110400668,East Bristol Street,
215,1,1,109839167,109839165,Neilson Street,
216,1,1,109839167,110400671,East Bristol Street,
217,1,1,109839182,109839188,West Schiller Street,
218,1,1,109839188,109817448,North 10th Street,
219,1,1,109839188,109839182,West Schiller Street,
220,1,1,109839188,109839199,West Schiller Street,
221,1,1,109839199,109823739,North 11th Street,
222,1,1,109839199,109839188,West Schiller Street,
223,1,1,110363503,110355153,South 24th Street,
224,1,1,109839224,110273921,North Hutchinson Street,
225,1,1,331613049,103404059,Newton Avenue,
226,1,1,331613049,331613124,,
227,1,1,110363520,110363530,Wilder Street,
228,1,1,110363520,110355207,South 26th Street,
229,1,1,103459648,103459673,Buttonwood Lane,
230,1,1,103459648,103459634,Buttonwood Lane,
231,1,1,103459648,103305090,Winding Lane,
232,1,1,110363530,110397734,S 27th St,
233,1,1,109839244,110215826,North Marshall Street,
234,1,1,109839244,109750445,West Schiller Street,
235,1,1,110363551,110414197,S 29th St,
236,1,1,109728570,109728580,North Beechwood Street,
237,1,1,109728570,109885842,West Nedro Avenue,
238,1,1,109728570,109728916,West Nedro Avenue,
239,1,1,331613123,331613124,Wright Avenue,
240,1,1,331613123,103409923,Federal Street,
241,1,1,331613123,331613049,,
242,1,1,331613124,103329902,Wright Avenue,
243,1,1,110363590,109981253,Wilder Street,
244,1,1,110363590,110413694,Dickinson Street,
245,1,1,111804578,111530183,Old Lancaster Road,
246,1,1,111804578,111804589,North Latchs Lane,
247,1,1,111804578,112531837,Old Lancaster Road,
248,1,1,103285725,103338180,Broad Street,
249,1,1,103285725,103349421,Broad Street,
250,1,1,103285725,103285734,Read,
251,1,1,103285725,103833207,North Read Street,
252,1,1,109839327,109921273,West Master Street,
253,1,1,109839327,109912886,North Hutchinson Street,
254,1,1,103285734,103285725,Read,
255,1,1,103285734,103636334,Bannard Street,
256,1,1,103285734,103300910,South Read Street,
257,1,1,103285734,103625647,Bannard Street,
258,1,1,103547883,103551200,Carriage House Lane,
259,1,1,103547883,103547911,Maple Lane,
260,1,1,103547883,103551231,Carriage House Lane,
261,1,1,103547911,103547971,Maple Lane,
262,1,1,103547911,103590133,2nd Street,
263,1,1,103547911,103590104,2nd Street,
264,1,1,103547911,103547883,Maple Lane,
265,1,1,103547971,103609073,4th Street,
266,1,1,103547971,103440141,Maple Lane,
267,1,1,103547971,103734758,4th Street,
268,1,1,103547971,103547911,Maple Lane,
269,1,1,635438209,110338978,Civic Center Boulevard,
270,1,1,635438209,635437339,,
271,1,1,109839497,109839531,Dartmouth Place,
272,1,1,103459693,103459691,East Ardmore Terrace,
273,1,1,110363801,110324986,South 5th Street,
274,1,1,110363801,4607141365,Wilder Street,
275,1,1,109839531,109839554,Dartmouth Place,
276,1,1,109839531,109839497,Dartmouth Place,
277,1,1,109839531,110298558,Crispin Street,
278,1,1,109839531,109749471,Crispin Street,
279,1,1,111936701,111710241,"[u'Heathcliffe Rd', u'Reese Avenue']",
280,1,1,111936701,111760611,Rockledge Ave,
281,1,1,111936701,112264323,Rockledge Ave,
282,1,1,111936701,1552131162,Reese Avenue,
283,1,1,109839554,109839531,Dartmouth Place,
284,1,1,3265529078,110408281,Fairmount Avenue,
285,1,1,3265529078,110183138,North 22nd Street,
286,1,1,3265529078,109775075,Fairmount Avenue,
287,1,1,2699560200,415465296,Market Street,
288,1,1,2699560200,109813507,Market Street,
289,1,1,2699560200,1688862382,South 34th Street,
290,1,1,109839634,109839645,Manning Street,
291,1,1,109839634,110114415,South 59th Street,
292,1,1,110363932,3641189657,Olive Street,
293,1,1,110363932,110274404,North Front Street,
294,1,1,110363932,110408246,North Front Street,
295,1,1,109839645,110339025,South 60th Street,
296,1,1,109839645,109768583,South 60th Street,
297,1,1,109839657,109839667,Manning Street,
298,1,1,109839657,110338895,South Quince Street,
299,1,1,112416306,112336358,Harrison Avenue,
300,1,1,109839667,109839657,Manning Street,
301,1,1,109839667,109839684,Manning Street,
302,1,1,109839667,110304246,South Sartain Street,
303,1,1,109839684,109839667,Manning Street,
304,1,1,109839684,109839699,Manning Street,
305,1,1,109839684,110151436,South 12th Street,
306,1,1,109839699,109839720,Manning Street,
307,1,1,109839699,109839684,Manning Street,
308,1,1,109839699,110131124,South Fawn Street,
309,1,1,109839720,110167785,South Camac Street,
310,1,1,109839720,109839699,Manning Street,
311,1,1,1135871340,1135874343,Gribbell Road,
312,1,1,109898667,109898646,Granite Street,
313,1,1,109898667,110405206,Large Street,
314,1,1,109898667,110449943,Large Street,
315,1,1,110013331,110013338,Ditman Street,
316,1,1,110013331,110193132,Haworth Street,
317,1,1,110013331,110509807,Haworth Street,
318,1,1,109839751,110338907,"[u'Manning Street', u'South Watts Street']",
319,1,1,109839751,110338901,South Juniper Street,
320,1,1,110364135,110183236,North 38th Street,
321,1,1,110364135,110364149,Olive Street,
322,1,1,112416338,112036337,Harrison Avenue,
323,1,1,112416338,111866076,West Glenside Avenue,
324,1,1,112416338,112395108,West Glenside Avenue,
325,1,1,110364149,110383682,North 39th Street,
326,1,1,110364149,110183246,North 39th Street,
327,1,1,109839883,110023867,South 17th Street,
328,1,1,110364175,110409814,North 19th Street,
329,1,1,109839895,109839883,Manning Street,
330,1,1,109839895,110034111,South 18th Street,
331,1,1,110364189,110408304,North 36th Street,
332,1,1,109839902,110045808,South 19th Street,
333,1,1,109839902,109839895,Manning Street,
334,1,1,110364196,110183217,North 37th Street,
335,1,1,110364196,110408308,North 37th Street,
336,1,1,110364196,110364189,Olive,
337,1,1,109839910,110431961,South 20th Street,
338,1,1,109839910,109839902,Manning Street,
339,1,1,110364213,110408345,Fairmount Avenue,
340,1,1,110364213,110364218,Olive,
341,1,1,110364213,109875515,Fairmount Avenue,
342,1,1,110364218,110183051,North 41st Street,
343,1,1,110364218,110364213,Olive,
344,1,1,110364236,110364246,Olive Street,
345,1,1,110364236,110333759,North 16th Street,
346,1,1,110364246,110364256,Olive Street,
347,1,1,110364246,110333768,North Chadwick Street,
348,1,1,110364246,110364236,Olive Street,
349,1,1,109839959,109839966,Manning Street,
350,1,1,109839959,110338911,South Broad Street,
351,1,1,109839966,110000903,South 15th Street,
352,1,1,110364256,110364266,Olive Street,
353,1,1,110364256,110403454,North 17th Street,
354,1,1,110364256,110364246,Olive Street,
355,1,1,3429761297,110186720,West Seltzer Street,
356,1,1,3429761297,3429761298,North 13th Street,
357,1,1,109811385,109811396,Rural Lane,
358,1,1,109811385,109812837,West Allens Lane,
359,1,1,109811385,110166478,West Allens Lane,
360,1,1,110364266,110364256,Olive Street,
361,1,1,110364266,110375825,North 18th Street,
362,1,1,1135871599,111651896,East Waverly Road,
363,1,1,1135871599,111651889,East Waverly Road,
364,1,1,1135871599,1135874140,East Waverly Road,
365,1,1,110364298,3429757293,Olive Street,
366,1,1,110364298,110409741,North Orkney Street,
367,1,1,3429761303,110187784,North 13th Street,
368,1,1,3429761303,109886522,West William Street,
369,1,1,109840021,110005736,Princeton Avenue,
370,1,1,109840021,109882042,Princeton Avenue,
371,1,1,109840021,109840034,Oakland Street,
372,1,1,109840034,109882051,Saint Vincent Street,
373,1,1,109840034,109840021,Oakland Street,
374,1,1,109840034,110005802,Saint Vincent Street,
375,1,1,109840034,109840061,Oakland Street,
376,1,1,3405862195,109876704,"[u'New Market Street', u'Poplar Street']",
377,1,1,3405862195,3405862196,North 2nd Street,
378,1,1,110364344,110127048,Olive Street,
379,1,1,110364344,110409862,North 50th Street,
380,1,1,110364344,110183103,North 50th Street,
381,1,1,109840061,109840034,Oakland Street,
382,1,1,109840061,110005606,Cottman Avenue,
383,1,1,109840061,110155758,Cottman Avenue,
384,1,1,109840085,109881666,Magee Avenue,
385,1,1,109840085,110219068,Magee Avenue,
386,1,1,109840085,109840095,Oakland Street,
387,1,1,109840095,110219077,Unruh Avenue,
388,1,1,109840095,109840103,Oakland Street,
389,1,1,109840095,109881679,Unruh Avenue,
390,1,1,109840095,109840085,Oakland Street,
391,1,1,109840103,109840116,Oakland Street,
392,1,1,109840103,109881689,Knorr Street,
393,1,1,109840103,110000445,Knorr Street,
394,1,1,109840103,109840095,Oakland Street,
395,1,1,4058253037,110014610,South Delaware Avenue,
396,1,1,109840116,110219090,Longshore Avenue,
397,1,1,109840116,109881731,Longshore Avenue,
398,1,1,109840116,109840125,Oakland Street,
399,1,1,109840116,109840103,Oakland Street,
400,1,1,1135871740,1135872105,Glenview Avenue,
401,1,1,1135871740,111703723,Glenside Avenue,
402,1,1,1135871740,111703733,Glenside Avenue,
403,1,1,109840125,109840116,Oakland Street,
404,1,1,109840125,110219101,Tyson Avenue,
405,1,1,109840125,109881758,Tyson Avenue,
406,1,1,581175049,1138506130,Fox Chase Road,
407,1,1,581175049,1138506118,Meetinghouse Rd,
408,1,1,581175049,112330126,Meetinghouse Rd,
409,1,1,109840143,109840174,Oakland Street,
410,1,1,109840143,110005868,Unity Street,
411,1,1,109840143,110451238,Unity Street,
412,1,1,109840143,109862462,East Wingohocking Street,
413,1,1,109821103,110194092,Wingohocking Terrace,
414,1,1,109821103,109821111,East Church Lane,
415,1,1,110364435,109800592,Priscilla Street,
416,1,1,110364435,110364444,Priscilla Street,
417,1,1,110364435,110342598,West Penn Street,
418,1,1,110364444,110364435,Priscilla Street,
419,1,1,110364444,110335523,West Coulter Street,
420,1,1,110364444,110342605,West Coulter Street,
421,1,1,110013404,109977345,Anchor Street,
422,1,1,110013404,110193219,Anchor Street,
423,1,1,110013404,110013412,Ditman Street,
424,1,1,109840174,109838944,Oakland Street,
425,1,1,109840174,109840143,Oakland Street,
426,1,1,109840180,109838944,Oakland Street,
427,1,1,109840180,110282310,Orthodox Street,
428,1,1,109840180,109840182,Oakland Street,
429,1,1,109840182,109840180,Oakland Street,
430,1,1,109840182,110005299,Overington Street,
431,1,1,109840182,109840188,Oakland Street,
432,1,1,110364473,110335546,Ruffner Street,
433,1,1,110364473,110297634,Ruffner Street,
434,1,1,109840188,109840197,Oakland Street,
435,1,1,109840188,109840182,Oakland Street,
436,1,1,109840188,110005309,Arrott Street,
437,1,1,109840197,109840188,Oakland Street,
438,1,1,109840197,110005318,Herbert Street,
439,1,1,109840197,109840206,Oakland Street,
440,1,1,109840206,109840218,Oakland Street,
441,1,1,109840206,109840197,Oakland Street,
442,1,1,109840206,110295551,Foulkrod Street,
443,1,1,110013412,109977354,East Cheltenham Avenue,
444,1,1,110013412,110193227,East Cheltenham Avenue,
445,1,1,110013412,110013420,Ditman Street,
446,1,1,109840218,109840225,Oakland Street,
447,1,1,109840218,110005339,Fillmore Street,
448,1,1,109840218,109840206,Oakland Street,
449,1,1,103372431,103372433,Conard Avenue,
450,1,1,103372431,103421645,Haddon Avenue,
451,1,1,103372431,103394038,Haddon Avenue,
452,1,1,109840225,110005346,Harrison Street,
453,1,1,109840225,3582123060,Oakland Street,
454,1,1,109840225,109840218,Oakland Street,
455,1,1,109840245,110344008,Wakeling Street,
456,1,1,109840245,109840265,Oakland Street,
457,1,1,109840245,3582123060,Oakland Street,
458,1,1,103548816,103548834,East Center Avenue,
459,1,1,103548816,103687350,West Center Avenue,
460,1,1,103548816,103564262,South Forklanding Road,
461,1,1,103548816,103620616,South Forklanding Road,
462,1,1,103372441,103461632,Park Avenue,
463,1,1,103372441,103372443,Conard Avenue,
464,1,1,103372441,103469759,Park Avenue,
465,1,1,103372441,103372439,Conard Avenue,
466,1,1,109840297,109840312,Oakland Street,
467,1,1,109840297,110143953,Dyre Street,
468,1,1,109840297,109840265,Oakland Street,
469,1,1,103548853,103548834,East Center Avenue,
470,1,1,103548853,103287630,East Center Avenue,
471,1,1,103548853,103476018,Elm Avenue,
472,1,1,103548853,103669718,Elm Avenue,
473,1,1,109840312,109840297,Oakland Street,
474,1,1,109840312,110565738,Kenwyn Street,
475,1,1,109840312,109840322,Oakland Street,
476,1,1,110013428,109802504,Van Kirk Street,
477,1,1,110013428,110026073,Van Kirk Street,
478,1,1,110013428,110013439,Ditman Street,
479,1,1,109840322,110232870,Pratt Street,
480,1,1,109840322,109840335,Oakland Street,
481,1,1,109840322,110219124,Pratt Street,
482,1,1,109840322,109840312,Oakland Street,
483,1,1,109840335,109840352,Oakland Street,
484,1,1,109840335,109840322,Oakland Street,
485,1,1,109840335,109983107,Bridge Street,
486,1,1,109840335,109983097,Bridge Street,
487,1,1,549672611,109821666,North Judson Street,
488,1,1,549672611,549672615,Pennsylvania Avenue,
489,1,1,109840352,109840362,Oakland Street,
490,1,1,109840352,110219215,East Sanger Street,
491,1,1,109840352,110232882,East Sanger Street,
492,1,1,109840352,109840335,Oakland Street,
493,1,1,109840362,109840352,Oakland Street,
494,1,1,109840362,110232890,East Cheltenham Avenue,
495,1,1,109840362,110219228,East Cheltenham Avenue,
496,1,1,109840362,109840370,Oakland Street,
497,1,1,103372455,103372457,Conard Avenue,
498,1,1,103372455,103372451,Conard Avenue,
499,1,1,103372455,103405284,Mansion Avenue,
500,1,1,103372455,103421411,Mansion Avenue,
501,1,1,109840370,109840362,Oakland Street,
502,1,1,109840370,109840383,Oakland Street,
503,1,1,109840370,110026189,Van Kirk Street,
504,1,1,109840370,110026183,Van Kirk Street,
505,1,1,110013439,110193240,East Howell Street,
506,1,1,110013439,109802520,East Howell Street,
507,1,1,110013439,110013447,Ditman Street,
508,1,1,109840383,109840370,Oakland Street,
509,1,1,109840383,110219033,East Howell Street,
510,1,1,109840383,110242491,East Howell Street,
511,1,1,109840383,109840412,Oakland Street,
512,1,1,110275584,110014776,Eastwick Avenue,
513,1,1,110275584,110372826,South 65th Street,
514,1,1,110275584,109914331,Eastwick Avenue,
515,1,1,110364676,110288376,North Mole Street,
516,1,1,110364676,110178676,West Wingohocking Street,
517,1,1,109840412,110170986,East Comly Street,
518,1,1,109840412,109840435,Oakland Street,
519,1,1,109840412,110170974,East Comly Street,
520,1,1,109840412,109840383,Oakland Street,
521,1,1,103404284,103498768,Spring Garden Street,
522,1,1,103404284,103404322,Highland Avenue,
523,1,1,103404284,103404282,Highland Avenue,
524,1,1,109840435,109840460,Oakland Street,
525,1,1,109840435,109840412,Oakland Street,
526,1,1,109840435,110242519,Creston Street,
527,1,1,110364739,109855483,Witler Street,
528,1,1,110364739,109855501,Hoff Street,
529,1,1,110364739,109976285,Hoff Street,
530,1,1,109840460,109840435,Oakland Street,
531,1,1,109840460,4461190644,Oakland Street,
532,1,1,109840460,778032806,Benner Street,
533,1,1,109840460,110242541,Benner Street,
534,1,1,1135872105,112330337,Glenview Avenue,
535,1,1,1135872105,111703723,Glenview Avenue,
536,1,1,1135872105,1135871740,Glenview Avenue,
537,1,1,103286894,103443298,Church Road,
538,1,1,103286894,103286958,Lenola Road,
539,1,1,103286894,103325950,Church Road,
540,1,1,109840514,4461190747,Robbins Avenue,
541,1,1,109840514,110044980,Robbins Avenue,
542,1,1,109840514,109840526,Oakland Street,
543,1,1,109840526,109840514,Oakland Street,
544,1,1,109840526,110219254,Levick Street,
545,1,1,110013466,110038872,Benner Street,
546,1,1,110013466,109802538,Benner Street,
547,1,1,110013466,109996725,Ditman Street,
548,1,1,111785127,111845655,North Highland Avenue,
549,1,1,111785127,112531863,North Highland Avenue,
550,1,1,111785127,111785135,Broome Lane,
551,1,1,109840549,110059879,Stenton Avenue,
552,1,1,109840549,109840558,Plainfield Street,
553,1,1,109840549,110059887,Stenton Avenue,
554,1,1,103286958,103562449,North Fork Landing Road,
555,1,1,103286958,103286894,Lenola Road,
556,1,1,103286958,103286989,Lenola Road,
557,1,1,103286958,103453750,South Fork Landing Road,
558,1,1,109840580,109807431,Emlen Street,
559,1,1,109840580,109840699,Carpenter Lane,
560,1,1,109840580,110150255,Carpenter Lane,
561,1,1,103286989,103287000,Lenola Road,
562,1,1,103286989,103313970,Smithwycke Drive,
563,1,1,103286989,103286958,Lenola Road,
564,1,1,103286989,103313957,Smithwycke Drive,
565,1,1,109840591,109841080,Rosemary Lane,
566,1,1,109840591,4458686978,Emlen Street,
567,1,1,109840591,109807431,Emlen Street,
568,1,1,103287000,103287008,Lenola Road,
569,1,1,103287000,103286989,Lenola Road,
570,1,1,103287000,103441718,Sequoia Drive,
571,1,1,112462045,112385808,Sandringham Road,
572,1,1,103287008,103287000,Lenola Road,
573,1,1,103287008,103287012,Lenola Road,
574,1,1,103287008,103375734,Acadia Drive,
575,1,1,103287012,103287008,Lenola Road,
576,1,1,103287012,103287029,Lenola Road,
577,1,1,103287012,103441718,Glacier Drive,
578,1,1,2022179197,2022179216,Sansom Street,
579,1,1,2022179197,4476163019,South 43rd Street,
580,1,1,103287029,103385513,Shenandoah Road,
581,1,1,103287029,103287012,Lenola Road,
582,1,1,103287029,103377478,"[u'North Lenola Road', u'Lenola Road']",
583,1,1,109840633,109840640,Emlen Street,
584,1,1,109840633,109992998,West Johnson Street,
585,1,1,109840633,110518246,West Johnson Street,
586,1,1,109840640,109840633,Emlen Street,
587,1,1,109840640,110358107,West Cliveden Street,
588,1,1,109840640,109840647,Emlen Street,
589,1,1,109840647,109840656,Emlen Street,
590,1,1,109840647,109984553,West Upsal Street,
591,1,1,109840647,109840640,Emlen Street,
592,1,1,109840647,109984545,West Upsal Street,
593,1,1,110450391,109912504,North 61st Street,
594,1,1,110450391,110044242,Master Street,
595,1,1,110450391,110031819,North 61st Street,
596,1,1,110450391,110425459,Master Street,
597,1,1,109840656,109840665,Emlen Street,
598,1,1,109840656,109840647,Emlen Street,
599,1,1,109840656,110241487,Weaver Street,
600,1,1,109840665,109840656,Emlen Street,
601,1,1,109840665,109840674,Emlen Street,
602,1,1,109840665,109985859,West Sharpnack Street,
603,1,1,109840665,109985870,West Sharpnack Street,
604,1,1,109840674,109840680,Emlen Street,
605,1,1,109840674,110541097,West Hortter Street,
606,1,1,109840674,110518259,West Hortter Street,
607,1,1,109840674,109840665,Emlen Street,
608,1,1,2702182693,110018561,Chelwynde Avenue,
